"","x"
"1",6
"2",10
"3",12
"4",10
"5",10
"6",12
"7",10
"8",12
"9",12
"10",10
"11",6
"12",6
"13",12
"14",12
"15",10
"16",10
"17",8
"18",12
"19",8
"20",14
"21",6
"22",12
"23",4
"24",14
"25",12
"26",10
"27",4
"28",12
"29",8
"30",12
"31",10
"32",8
"33",10
"34",10
"35",10
"36",14
"37",14
"38",6
"39",10
"40",8
"41",10
"42",12
"43",10
"44",14
"45",4
"46",10
"47",6
"48",14
"49",12
"50",12
"51",6
"52",8
"53",12
"54",10
"55",6
"56",12
"57",14
"58",10
"59",6
"60",6
"61",12
"62",14
"63",14
"64",14
"65",14
"66",12
"67",6
"68",12
"69",10
"70",6
"71",6
"72",10
"73",8
"74",12
"75",6
"76",14
"77",10
"78",12
"79",10
"80",6
"81",14
"82",14
"83",8
"84",12
"85",4
"86",10
"87",12
"88",10
"89",10
"90",10
"91",10
"92",14
"93",8
"94",10
"95",6
"96",10
"97",10
"98",14
"99",10
"100",10
"101",6
"102",8
"103",8
"104",10
"105",14
"106",12
"107",14
"108",10
"109",8
"110",2
"111",8
"112",10
"113",4
"114",14
"115",8
"116",12
"117",4
"118",10
"119",14
"120",8
"121",8
"122",10
"123",10
"124",12
"125",12
"126",10
"127",10
"128",10
"129",14
"130",14
"131",4
"132",10
"133",10
"134",4
"135",2
"136",8
"137",10
"138",8
"139",6
"140",2
"141",12
"142",8
"143",10
"144",10
"145",6
"146",12
"147",12
"148",8
"149",12
"150",10
"151",6
"152",8
"153",12
"154",10
"155",12
"156",14
"157",10
"158",14
"159",10
"160",14
"161",6
"162",8
"163",14
"164",10
"165",6
"166",4
"167",12
"168",10
"169",6
"170",14
"171",6
"172",10
"173",8
"174",8
"175",10
"176",12
"177",8
"178",12
"179",10
"180",8
"181",10
"182",4
"183",8
"184",10
"185",14
"186",6
"187",6
"188",12
"189",8
"190",12
"191",8
"192",14
"193",14
"194",8
"195",8
"196",10
"197",8
"198",14
"199",8
"200",10
"201",10
"202",10
"203",8
"204",10
"205",12
"206",8
"207",14
"208",10
"209",12
"210",14
"211",12
"212",10
"213",4
"214",10
"215",10
"216",6
"217",10
"218",12
"219",12
"220",8
"221",12
"222",14
"223",12
"224",4
"225",12
"226",6
"227",8
"228",12
"229",4
"230",12
"231",10
"232",10
"233",8
"234",12
"235",10
"236",12
"237",8
"238",14
"239",14
"240",8
"241",10
"242",10
"243",12
"244",12
"245",6
"246",10
"247",12
"248",8
"249",8
"250",12
"251",8
"252",12
"253",10
"254",8
"255",12
"256",14
"257",12
"258",2
"259",10
"260",8
"261",10
"262",12
"263",12
"264",10
"265",2
"266",12
"267",6
"268",10
"269",8
"270",14
"271",6
"272",12
"273",14
"274",8
"275",10
"276",12
"277",10
"278",6
