"","x"
"1",12621.6428225446
"2",29714.2499181551
"3",16250.4676504004
"4",36665.4118644444
"5",31092.4107483264
"6",49364.741041483
"7",18470.7478493044
"8",16660.1809654638
"9",12920.2011519442
"10",32547.6075064535
"11",8604.67816422828
"12",17139.492920453
"13",19382.4289710151
"14",23169.0719007093
"15",16366.2789067653
"16",25224.8758793884
"17",19930.7067978144
"18",19821.762572322
"19",12899.0546726502
"20",28563.5308308454
"21",25280.3705270411
"22",28964.340951353
"23",17138.8356771214
"24",39619.7965813047
"25",33922.0661970151
"26",12941.5951611976
"27",18751.6603719785
"28",17333.1663942961
"29",13098.517333819
"30",43080.0410926114
"31",23138.9684966569
"32",35895.1328145899
"33",24205.9820920817
"34",21867.6408154176
"35",22624.3464838004
"36",18143.6629789436
"37",46374.8783311307
"38",19681.3171164192
"39",38638.2859040531
"40",17119.770609797
"41",22240.6103408703
"42",20214.9775224173
"43",17223.6083250613
"44",31338.7473192558
"45",12807.2354759679
"46",47598.5800616866
"47",14751.9194968051
"48",17363.9228776725
"49",21127.5525471403
"50",15375.0043847791
"51",21082.7326917051
"52",12367.7967377629
"53",45998.506775802
"54",20868.3594737706
"55",19153.8378752167
"56",14910.8470751221
"57",18183.9617695525
"58",22581.4874154369
"59",23665.3063396846
"60",15036.4396757527
"61",13102.0330223607
"62",23067.3619993956
"63",23634.5856686925
"64",18997.3858248853
"65",29190.6632957675
"66",14330.1460508282
"67",22984.4798689766
"68",17775.0220638941
"69",25272.4940374026
"70",35156.6207845976
"71",13875.6358362655
"72",36759.393618014
"73",16534.2751500601
"74",26516.3197615983
"75",14072.1666747122
"76",26149.864531356
"77",14211.4062325689
"78",21755.4746924157
"79",33745.708092886
"80",12384.4588480801
"81",18407.0403238347
"82",26123.7526466742
"83",16902.421568111
"84",17518.8998715275
"85",11922.6268386687
"86",26631.5969963865
"87",16183.2037085043
"88",12426.7374822704
"89",33425.7929916568
"90",25840.7011771867
"91",35598.7314754839
"92",28948.9153879736
"93",17538.9842393286
"94",17792.0473295813
"95",23076.1450532825
"96",37839.2902220005
"97",22993.396581367
"98",24146.2052049049
"99",19393.6060189467
"100",20206.1488367904
"101",21397.4320990904
"102",13812.6254092075
"103",17856.8530040514
"104",18500.122969006
"105",37908.3905235312
"106",30716.6539851085
"107",23206.6129371743
"108",19962.3229636953
"109",15225.77837998
"110",35188.7768888811
"111",27084.9999536254
"112",36643.3520248347
"113",11691.718934174
"114",22560.4444771189
"115",24062.2599638617
"116",16504.0818869254
"117",14630.3845155806
"118",28263.9796943764
"119",32663.7817533518
"120",34372.2401759969
"121",15177.4980285896
"122",17447.4535890598
"123",33695.646529675
"124",16200.7628347192
"125",24212.9290073787
"126",20068.2415421492
"127",26576.0249131016
"128",19248.3548398999
"129",26274.2663350472
"130",25278.2496252986
"131",16801.5019520022
"132",19218.2392096474
"133",23229.0657232168
"134",15615.2331262527
"135",14105.1921406948
"136",17031.7518001714
"137",17507.2195376897
"138",15490.7376712053
"139",36812.0798946367
"140",10628.7905183602
"141",16371.1031922921
"142",16188.6499171085
"143",20859.0009851892
"144",27264.2530411897
